name,pointx_class,feature_easting,feature_northing,street_name,locality,geographic_county,postcode,admin_boundary,brand,FEATClass
Starbucks Coffee Co UK Ltd,1020013,426272,435413,Headingley,Leeds,West Yorkshire,LS5 3RP,Leeds District,Starbucks Coffee,Cafes
Alley Cats,1020034,430763,436724,Harrogate Road,Leeds,West Yorkshire,LS7 4LA,Leeds District,,Restaurants
Tong Road Fried Chicken,1020018,428146,432801,Bramley,Leeds,West Yorkshire,LS12 1HX,Leeds District,,Takeaways
Archers Special Gifts,9470663,426785,432097,Bramley,Leeds,West Yorkshire,LS12 4PQ,Leeds District,,Speciality Outlets
Armaan's Cuisine,1020018,427470,433280,Bramley,Leeds,West Yorkshire,LS12 1QQ,Leeds District,,Takeaways
Delices Desserts,1020018,427030,433496,,Leeds,West Yorkshire,LS12 3UF,Leeds District,,Takeaways
Supp4less,9470672,428157,432805,Bramley,Leeds,West Yorkshire,LS12 1HX,Leeds District,,Speciality Outlets
Lite Bowls,1020018,426749,433087,Tong Road,Leeds,West Yorkshire,LS12 3BG,Leeds District,,Takeaways
Nurture Armley Cafe,1020013,427058,433495,Town Street,"Armley, Leeds",West Yorkshire,LS12 3AB,Leeds District,,Cafes
Armley Shawarma,1020018,427035,433441,Bramley,Leeds,West Yorkshire,LS12 1XD,Leeds District,,Takeaways
Noor Foods,9470669,427163,433533,Bramley,Leeds,West Yorkshire,LS12 3AB,Leeds District,,Speciality Outlets
The Cross Keys,1020034,478650,471820,Wheelgate,Malton,North Yorkshire,YO17 7HT,Ryedale District,,Restaurants
The Castle Inn,1020034,434972,456990,Castlegate,Knaresborough,North Yorkshire,HG5 8AR,Harrogate District,,Restaurants
Number Thirteen,1020013,435014,456954,Castlegate,Knaresborough,North Yorkshire,HG5 8AR,Harrogate District,,Cafes
Neil's Quality Greengrocers,9470669,440376,433298,Garforth,Leeds,West Yorkshire,LS25 1AF,Leeds District,,Speciality Outlets
Euro Supermarket Off Licence,9470699,430112,431383,Beeston,Leeds,West Yorkshire,LS11 5EG,Leeds District,,Convenience Stores
Karpaty Bakery,9470661,430260,431243,Burton Road,Leeds,West Yorkshire,LS11 5EQ,Leeds District,,Takeaways
Mydonose International Food Store,9470669,430908,434477,Benson Street,Leeds,West Yorkshire,LS7 1BL,Leeds District,,Speciality Outlets
Revolucion De Cuba,1020034,430267,433256,Call Lane,Leeds,West Yorkshire,LS1 6DT,Leeds District,Revolucion De Cuba,Restaurants
Flames,1020018,447241.4,411742.3,Ash Grove,"South Elmsall, Pontefract",West Yorkshire,WF9 2UP,Wakefield District,,Takeaways
Taco Bell,1020018,442626.9,401761.4,Manvers Way,Rotherham,South Yorkshire,S63 7DQ,Rotherham District,Taco Bell,Takeaways
Shirley's Fish & Chips,1020020,447417.4,411374.7,Ash Grove,"South Elmsall, Pontefract",West Yorkshire,WF9 2TA,Wakefield District,,Takeaways
The Gas Works Brew Bar,1020034,383759.7,397439.7,,Manchester,Greater Manchester,M15 4RA,Manchester District,,Restaurants
The Minsthorpe,1020034,446432.2,411472,Minsthorpe Lane,"South Elmsall, Pontefract",West Yorkshire,WF9 2NY,Wakefield District,,Restaurants
Baskin Robbins,1020018,421714,434221,Town Centre,Pudsey,West Yorkshire,LS28 6AR,Leeds District,Baskin Robbins,Takeaways
The Bay Horse,1020034,421785,435285,Town Street,Pudsey,West Yorkshire,LS28 5LF,Leeds District,,Restaurants
Hanni's Pizzeria,1020018,443024.1,425775.9,Carlton Street,Castleford,West Yorkshire,WF10 1AX,Wakefield District,,Takeaways
