PU_ID,pcd,oseast1m,osnrth1m,oslaua,msoa01,lat,long
356,BD1 2LG,415411,433461,E08000032,E02002226,53.797231,-1.767519
357,BD1 2LH,415600,433400,E08000032,E02002221,53.796677,-1.764653
358,BD1 2LJ,415619,433486,E08000032,E02002221,53.797464,-1.764363
359,BD1 2LL,415613,433440,E08000032,E02002221,53.797051,-1.764457
360,BD1 2LQ,415565,433384,E08000032,E02002226,53.796534,-1.765185
361,BD1 2LR,415800,433100,E08000032,E02002221,53.793974,-1.761632
362,BD1 2LT,415751,433270,E08000032,E02002221,53.795504,-1.762367
363,BD1 2LU,416038,433203,E08000032,E02002221,53.794893,-1.758013
364,BD1 2LW,415677,433451,E08000032,E02002221,53.797133,-1.763481
365,BD1 2LY,416031,433155,E08000032,E02002221,53.794462,-1.758122
366,BD1 2LZ,416017,433169,E08000032,E02002221,53.794588,-1.758334
367,BD1 2NA,415986,433204,E08000032,E02002221,53.794903,-1.758803
368,BD1 2NB,415921,433124,E08000032,E02002221,53.794186,-1.759794
369,BD1 2ND,415970,433160,E08000032,E02002221,53.794508,-1.759048
370,BD1 2NE,416034,433141,E08000032,E02002221,53.794336,-1.758077
